,éÌóﬁ,à íu X,Y,Z
ëê 00,9,680,80,-559.98999
ëê 00,9,680,80,-599.98999
ëê 00,9,680,80,-639.98999
ëê 00,0,680,200,840
ëê 00,0,680,200,800
ëê 00,0,680,200,760
ëê 00,0,680,200,720
ëê 00,0,680,200,680
ëê 00,0,680,200,640
ëê 00,0,680,200,600
ëê 00,0,680,200,560
ëê 00,0,680,200,520
ëê 00,0,680,200,480
ëê 00,0,680,200,440
ëê 00,0,680,200,400
ëê 00,0,680,200,360
ëê 00,0,680,200,320
ëê 00,0,680,200,280
ëê 00,0,680,200,240
ëê 00,0,680,200,200
ëê 00,0,680,200,160
ëê 00,0,680,200,120
ëê 00,0,680,200,80
ëê 00,0,680,200,40
ëê 00,0,680,200,0
ëê 00,0,680,200,-39.989998
ëê 00,0,680,200,-79.989998
ëê 00,0,680,200,-119.989998
ëê 00,0,680,200,-159.98999
ëê 00,0,680,200,-199.98999
ëê 00,0,680,200,-239.98999
ëê 00,0,680,200,-279.98999
ëê 00,0,680,200,-319.98999
ëê 00,0,680,200,-359.98999
ëê 00,0,680,200,-399.98999
ëê 00,0,680,200,-439.98999
ëê 00,0,680,200,-479.98999
ëê 00,0,680,200,-519.98999
ëê 00,0,680,200,-559.98999
ëê 00,0,680,200,-599.98999
ëê 00,0,680,200,-639.98999
ëê 00,0,-880,200,840
ëê 00,0,-880,200,800
ëê 00,0,-880,200,760
ëê 00,0,-880,200,720
ëê 00,0,-880,200,680
ëê 00,0,-880,200,640
ëê 00,0,-880,200,600
ëê 00,0,-880,200,560
ëê 00,0,-880,200,520
ëê 00,0,-880,200,480
ëê 00,0,-880,200,440
ëê 00,0,-880,200,400
ëê 00,0,-880,200,360
ëê 00,0,-880,200,320
ëê 00,0,-880,200,280
ëê 00,0,-880,200,240
ëê 00,0,-880,200,200
ëê 00,0,-880,200,160
ëê 00,0,-880,200,120
ëê 00,0,-880,200,80
ëê 00,0,-880,200,40
ëê 00,0,-880,200,0
ëê 02,0,-880,200,-39.989998
ëê 02,0,-880,200,-79.989998
ëê 02,0,-880,200,-119.989998
ëê 02,0,-880,200,-159.98999
ëê 02,0,-880,200,-199.98999
ëê 02,0,-880,200,-239.98999
ëê 02,0,-880,200,-279.98999
ëê 02,0,-880,200,-319.98999
ëê 02,0,-880,200,-359.98999
ëê 02,0,-880,200,-399.98999
ëê 02,0,-880,200,-439.98999
ëê 02,0,-880,200,-479.98999
ëê 02,0,-880,200,-519.98999
ëê 02,0,-880,200,-559.98999
ëê 02,0,-880,200,-599.98999
ëê 02,0,-880,200,-639.98999
